wage,educ,exper,age,sex,race,married,union,sector,overtime,economy
10.0,12.0,20.0,33.0,male,white,yes,no,services,yes,Healthcare
21.14,16.0,19.0,39.0,male,white,yes,no,services,no,Services
20.69,16.0,10.0,29.0,male,asian,no,no,services,no,Services
19.66,14.0,14.0,32.0,male,white,no,no,manufacturing,no,Manufacturing
16.56,12.0,24.0,37.0,female,other,no,no,services,no,Healthcare
25.81,13.0,22.0,38.0,female,hispanic,no,no,manufacturing,yes,Manufacturing
35.37,16.0,33.0,63.0,female,white,yes,no,services,no,Healthcare
22.02,20.0,11.0,38.0,female,white,yes,no,other,no,Healthcare
10.92,9.0,11.0,23.0,male,white,no,no,services,no,Healthcare
26.02,16.0,5.0,28.0,female,hispanic,yes,no,services,no,Services
14.83,18.0,20.0,46.0,female,white,no,no,services,no,Healthcare
20.44,15.0,35.0,58.0,female,hispanic,yes,no,services,yes,Services
21.11,15.0,18.0,43.0,male,white,yes,no,services,yes,Services
29.85,15.0,5.0,26.0,female,white,yes,no,services,yes,Healthcare
10.0,11.0,17.0,34.0,female,white,yes,no,services,no,Services
26.8,15.0,18.0,39.0,male,hispanic,yes,no,manufacturing,no,Manufacturing
18.56,11.0,23.0,43.0,female,white,yes,no,services,no,Services
10.0,13.0,9.0,31.0,male,white,yes,no,services,no,Healthcare
24.32,14.0,2.0,25.0,male,black,no,no,manufacturing,no,Manufacturing
17.57,17.0,8.0,42.0,female,white,yes,no,manufacturing,yes,Manufacturing
21.72,13.0,11.0,36.0,male,asian,no,no,services,no,Healthcare
21.05,16.0,12.0,32.0,female,white,no,no,services,yes,Healthcare
12.37,13.0,4.0,27.0,male,white,yes,no,services,no,Services
16.08,13.0,17.0,35.0,female,white,yes,no,manufacturing,no,Manufacturing
29.12,15.0,18.0,39.0,male,black,yes,no,services,no,Services
21.53,16.0,11.0,26.0,female,white,no,no,services,no,Healthcare
15.05,12.0,26.0,49.0,female,white,no,no,services,no,Services
18.34,14.0,15.0,34.0,male,white,yes,yes,manufacturing,yes,Manufacturing
26.91,14.0,16.0,39.0,male,white,no,no,services,no,Services
19.85,13.0,19.0,39.0,female,other,no,no,services,no,Services
16.05,13.0,28.0,41.0,female,other,yes,no,other,no,Healthcare
17.51,15.0,17.0,40.0,female,white,yes,no,services,no,Healthcare
19.06,9.0,2.0,18.0,male,black,no,no,manufacturing,no,Manufacturing
24.43,17.0,7.0,29.0,female,black,no,no,services,yes,Healthcare
22.94,15.0,11.0,30.0,female,white,yes,no,services,yes,Services
23.07,15.0,22.0,33.0,female,white,yes,no,services,no,Services
18.23,15.0,13.0,38.0,female,hispanic,no,no,services,yes,Services
13.25,15.0,16.0,41.0,female,black,no,no,services,no,Services
