wage,educ,exper,age,sex,race,married,union,sector,overtime
10.0,12.0,20.0,33.0,female,white,yes,no,education,yes
21.14,16.0,19.0,39.0,female,white,yes,no,services,no
20.69,16.0,10.0,29.0,female,asian,no,no,education,no
19.66,14.0,14.0,32.0,male,white,no,no,manufacturing,no
16.56,12.0,24.0,37.0,female,other,no,no,services,no
25.81,13.0,22.0,38.0,female,hispanic,no,no,manufacturing,yes
35.37,16.0,33.0,63.0,female,white,yes,no,healthcare,no
22.02,20.0,11.0,38.0,male,white,yes,no,services,no
10.92,9.0,11.0,23.0,male,white,no,no,services,no
26.02,16.0,5.0,28.0,female,hispanic,yes,no,healthcare,no
14.83,18.0,20.0,46.0,female,white,no,no,healthcare,no
20.44,15.0,35.0,58.0,female,hispanic,yes,no,education,yes
21.11,15.0,18.0,43.0,female,white,yes,no,services,yes
29.85,15.0,5.0,26.0,female,white,yes,no,services,yes
10.0,11.0,17.0,34.0,male,white,yes,no,services,no
26.8,15.0,18.0,39.0,male,hispanic,yes,no,manufacturing,no
18.56,11.0,23.0,43.0,male,white,yes,no,education,no
10.0,13.0,9.0,31.0,female,white,yes,no,services,no
24.32,14.0,2.0,25.0,male,black,no,no,manufacturing,no
17.57,17.0,8.0,42.0,female,white,yes,no,manufacturing,yes
21.72,13.0,11.0,36.0,female,asian,no,no,services,no
21.05,16.0,12.0,32.0,female,white,no,no,healthcare,yes
12.37,13.0,4.0,27.0,female,white,yes,no,healthcare,no
16.08,13.0,17.0,35.0,female,white,yes,no,manufacturing,no
29.12,15.0,18.0,39.0,female,black,yes,no,services,no
21.53,16.0,11.0,26.0,female,white,no,no,services,no
15.05,12.0,26.0,49.0,male,white,no,no,education,no
18.34,14.0,15.0,34.0,male,white,yes,yes,manufacturing,yes
26.91,14.0,16.0,39.0,female,white,no,no,services,no
19.85,13.0,19.0,39.0,male,other,no,no,education,no
16.05,13.0,28.0,41.0,female,other,yes,no,manufacturing,no
17.51,15.0,17.0,40.0,female,white,yes,no,education,no
19.06,9.0,2.0,18.0,female,black,no,no,manufacturing,no
24.43,17.0,7.0,29.0,female,black,no,no,services,yes
22.94,15.0,11.0,30.0,female,white,yes,no,services,yes
23.07,15.0,22.0,33.0,male,white,yes,no,services,no
18.23,15.0,13.0,38.0,male,hispanic,no,no,education,yes
13.25,15.0,16.0,41.0,female,black,no,no,services,no
19.31,16.0,12.0,31.0,female,asian,yes,no,healthcare,yes
12.69,12.0,13.0,31.0,male,white,yes,no,services,yes
23.3,15.0,22.0,47.0,female,white,yes,no,healthcare,no
10.0,14.0,22.0,36.0,female,white,yes,no,services,no
16.39,18.0,15.0,47.0,male,hispanic,no,no,manufacturing,no
16.58,10.0,16.0,35.0,male,white,no,no,manufacturing,no
21.01,19.0,13.0,30.0,female,white,yes,no,healthcare,no
21.08,13.0,16.0,36.0,male,black,no,no,services,no
20.51,17.0,22.0,46.0,female,other,no,yes,manufacturing,no
18.33,16.0,11.0,35.0,female,asian,no,no,education,no
16.52,15.0,22.0,50.0,male,white,yes,yes,manufacturing,no
18.41,12.0,10.0,30.0,male,white,yes,yes,services,yes
14.77,12.0,5.0,20.0,female,white,no,no,services,yes
14.7,11.0,14.0,34.0,female,hispanic,yes,no,services,yes
24.32,17.0,6.0,31.0,male,black,no,no,government,no
17.29,12.0,1.0,20.0,female,black,no,no,education,no
10.0,13.0,17.0,42.0,female,white,yes,no,manufacturing,no
27.43,19.0,18.0,39.0,male,white,no,no,manufacturing,no
28.82,16.0,0.0,19.0,male,white,yes,no,manufacturing,yes
22.02,13.0,7.0,33.0,female,hispanic,no,no,healthcare,no
18.36,13.0,11.0,35.0,female,asian,no,yes,manufacturing,no
29.0,15.0,19.0,43.0,male,white,yes,no,manufacturing,no
18.86,16.0,15.0,43.0,female,asian,yes,no,services,no
32.84,19.0,24.0,51.0,female,black,no,no,services,no
15.79,11.0,15.0,32.0,female,white,yes,no,services,no
23.06,16.0,21.0,38.0,female,asian,no,no,manufacturing,no
14.46,15.0,17.0,44.0,female,hispanic,yes,yes,services,no
14.83,15.0,5.0,27.0,female,white,yes,no,services,no
10.0,11.0,10.0,26.0,male,hispanic,yes,no,services,no
17.0,15.0,5.0,29.0,male,white,yes,no,manufacturing,no
15.91,13.0,14.0,37.0,male,white,no,no,manufacturing,no
19.26,17.0,4.0,26.0,female,black,yes,no,services,no
23.15,15.0,18.0,43.0,male,hispanic,yes,no,healthcare,yes
20.51,14.0,13.0,34.0,female,black,yes,no,manufacturing,no
28.81,17.0,11.0,32.0,female,white,no,no,healthcare,no
20.49,13.0,23.0,39.0,female,white,no,no,services,yes
17.45,13.0,11.0,31.0,female,black,no,yes,services,no
20.21,17.0,14.0,35.0,female,white,no,yes,education,no
16.99,10.0,20.0,43.0,male,white,yes,no,healthcare,no
19.3,11.0,13.0,24.0,female,white,yes,no,services,no
12.87,10.0,24.0,38.0,female,white,yes,no,education,no
24.26,15.0,23.0,53.0,female,hispanic,no,no,manufacturing,yes
23.41,18.0,10.0,34.0,male,other,no,yes,manufacturing,no
11.84,17.0,0.0,22.0,female,white,no,no,services,no
24.34,13.0,20.0,34.0,male,black,no,no,education,no
15.58,14.0,14.0,31.0,male,white,yes,no,manufacturing,yes
30.24,19.0,33.0,55.0,male,white,yes,no,manufacturing,no
12.66,12.0,2.0,20.0,male,white,no,no,healthcare,yes
20.06,13.0,16.0,34.0,male,black,yes,no,manufacturing,no
32.02,19.0,24.0,56.0,male,hispanic,no,no,government,no
24.88,19.0,19.0,48.0,male,white,yes,no,healthcare,no
29.67,17.0,26.0,42.0,male,white,yes,no,healthcare,no
21.84,19.0,29.0,59.0,male,hispanic,yes,no,healthcare,yes
24.42,16.0,13.0,40.0,male,white,yes,no,manufacturing,no
17.86,11.0,19.0,30.0,female,hispanic,yes,no,government,no
14.82,11.0,8.0,22.0,female,white,yes,no,manufacturing,no
20.4,14.0,15.0,36.0,male,white,no,no,manufacturing,yes
14.42,12.0,9.0,27.0,male,white,yes,no,manufacturing,no
19.5,16.0,22.0,46.0,female,white,no,yes,healthcare,no
22.18,17.0,19.0,47.0,male,white,no,no,services,no
30.63,20.0,24.0,44.0,female,white,yes,no,healthcare,no
18.65,13.0,13.0,26.0,female,black,no,no,government,no
10.0,9.0,12.0,29.0,male,black,no,no,healthcare,no
26.44,14.0,6.0,22.0,male,asian,yes,no,manufacturing,no
28.47,18.0,8.0,37.0,male,white,no,no,education,no
21.6,12.0,15.0,33.0,female,black,no,yes,services,no
12.77,10.0,0.0,18.0,male,white,yes,yes,manufacturing,no
26.02,18.0,21.0,45.0,female,other,yes,no,education,no
13.17,10.0,11.0,30.0,male,hispanic,yes,no,healthcare,no
22.07,17.0,14.0,34.0,female,white,yes,no,manufacturing,no
12.12,13.0,23.0,49.0,female,white,yes,no,services,yes
20.44,12.0,5.0,23.0,male,black,no,no,healthcare,no
27.08,21.0,9.0,32.0,male,asian,no,yes,manufacturing,yes
14.01,10.0,19.0,37.0,female,white,no,yes,manufacturing,no
12.06,12.0,18.0,38.0,female,asian,yes,yes,services,no
13.53,18.0,6.0,25.0,male,black,no,no,healthcare,no
19.5,17.0,10.0,27.0,female,white,no,no,manufacturing,no
12.77,17.0,15.0,36.0,female,black,yes,yes,services,no
12.9,10.0,8.0,18.0,male,other,yes,no,manufacturing,no
24.8,15.0,7.0,38.0,male,black,yes,no,manufacturing,no
19.78,15.0,23.0,41.0,male,hispanic,yes,no,services,no
10.0,15.0,2.0,21.0,female,hispanic,yes,no,healthcare,no
23.25,16.0,6.0,26.0,female,black,no,no,education,yes
26.85,19.0,23.0,45.0,female,white,yes,no,manufacturing,no
22.62,16.0,13.0,39.0,male,hispanic,no,no,services,no
16.3,15.0,9.0,24.0,female,white,yes,no,healthcare,yes
29.68,16.0,11.0,34.0,male,hispanic,no,no,manufacturing,no
20.77,16.0,17.0,44.0,male,hispanic,no,no,healthcare,no
15.5,14.0,15.0,35.0,male,white,no,yes,healthcare,no
22.07,15.0,5.0,28.0,female,white,yes,yes,services,no
11.28,11.0,12.0,27.0,female,white,no,no,healthcare,no
25.08,14.0,27.0,40.0,female,black,yes,yes,healthcare,no
10.0,11.0,6.0,20.0,female,asian,yes,no,manufacturing,no
20.27,14.0,22.0,44.0,male,hispanic,no,no,services,yes
22.71,14.0,12.0,28.0,male,hispanic,no,no,manufacturing,no
25.07,15.0,8.0,32.0,female,hispanic,yes,no,manufacturing,no
18.9,15.0,3.0,22.0,female,asian,no,no,services,no
13.75,13.0,3.0,24.0,male,white,yes,no,manufacturing,no
11.59,12.0,0.0,18.0,male,hispanic,no,no,manufacturing,yes
18.74,15.0,22.0,40.0,female,white,no,no,services,no
33.22,18.0,23.0,50.0,male,white,yes,no,government,no
26.43,16.0,16.0,36.0,male,white,no,no,healthcare,no
15.54,19.0,3.0,26.0,male,white,yes,no,education,no
15.96,13.0,5.0,24.0,female,hispanic,no,yes,healthcare,no
18.03,14.0,17.0,37.0,female,other,no,no,services,no
18.81,16.0,42.0,65.0,female,hispanic,no,no,services,no
20.19,16.0,19.0,38.0,male,hispanic,no,no,manufacturing,yes
12.05,15.0,0.0,18.0,female,hispanic,no,no,manufacturing,no
22.01,14.0,22.0,50.0,female,white,no,no,services,no
13.99,11.0,25.0,44.0,male,black,no,no,government,no
27.72,17.0,8.0,33.0,female,white,no,yes,manufacturing,no
17.21,11.0,0.0,18.0,female,white,yes,no,services,no
18.12,17.0,28.0,51.0,male,white,no,no,manufacturing,yes
13.61,9.0,22.0,33.0,male,black,no,no,manufacturing,no
10.19,13.0,7.0,30.0,male,white,no,no,government,yes
14.67,15.0,11.0,31.0,female,white,no,no,services,no
23.05,17.0,17.0,35.0,male,white,yes,no,manufacturing,no
17.7,14.0,17.0,34.0,male,hispanic,yes,no,manufacturing,no
19.25,16.0,2.0,24.0,female,white,yes,no,healthcare,no
27.78,15.0,5.0,23.0,female,hispanic,no,no,manufacturing,yes
22.27,11.0,19.0,30.0,female,asian,yes,yes,manufacturing,no
16.95,16.0,16.0,39.0,female,white,yes,no,services,no
24.56,12.0,9.0,18.0,male,white,no,no,manufacturing,yes
26.5,15.0,8.0,24.0,female,white,yes,no,manufacturing,no
14.6,14.0,0.0,18.0,female,white,no,no,services,yes
10.0,13.0,13.0,30.0,female,white,yes,no,services,no
10.15,13.0,11.0,31.0,male,asian,no,no,manufacturing,no
10.0,12.0,18.0,37.0,female,white,yes,no,healthcare,yes
25.42,13.0,10.0,32.0,female,asian,yes,no,services,no
10.0,8.0,7.0,28.0,male,white,yes,no,manufacturing,no
16.74,15.0,8.0,23.0,female,white,yes,no,healthcare,no
25.96,12.0,11.0,39.0,female,white,yes,no,services,yes
22.54,16.0,17.0,33.0,male,white,yes,no,manufacturing,yes
22.12,18.0,9.0,36.0,female,white,no,yes,healthcare,no
20.7,19.0,11.0,38.0,male,white,no,no,healthcare,no
21.59,16.0,17.0,42.0,female,black,yes,no,services,yes
33.45,18.0,14.0,30.0,male,white,no,no,healthcare,no
17.64,9.0,16.0,26.0,male,white,yes,no,manufacturing,no
14.19,15.0,22.0,47.0,female,white,no,no,services,no
21.03,15.0,19.0,47.0,female,black,yes,no,services,no
14.84,15.0,0.0,18.0,male,hispanic,no,no,manufacturing,no
10.81,14.0,4.0,28.0,female,hispanic,no,no,manufacturing,no
17.94,9.0,11.0,30.0,female,hispanic,yes,no,services,no
14.42,16.0,21.0,52.0,female,white,no,no,services,no
13.13,13.0,26.0,44.0,female,hispanic,no,no,services,no
14.11,16.0,13.0,37.0,male,white,no,no,government,no
20.65,17.0,10.0,32.0,female,white,yes,no,services,yes
16.7,10.0,11.0,27.0,female,asian,yes,no,services,yes
21.42,12.0,24.0,37.0,male,hispanic,yes,no,manufacturing,yes
16.41,13.0,16.0,30.0,female,white,no,yes,manufacturing,no
25.7,16.0,16.0,44.0,male,white,no,no,services,no
21.85,14.0,17.0,32.0,female,hispanic,no,no,government,no
22.21,15.0,29.0,49.0,female,asian,yes,no,services,no
26.62,14.0,19.0,34.0,female,white,yes,no,manufacturing,no
23.76,15.0,2.0,22.0,male,hispanic,yes,no,manufacturing,no
19.76,12.0,2.0,18.0,male,other,no,no,services,no
30.56,18.0,14.0,42.0,male,white,no,no,manufacturing,no
24.43,16.0,18.0,39.0,male,other,yes,no,manufacturing,yes
16.13,12.0,19.0,36.0,female,white,no,no,education,no
26.52,18.0,20.0,48.0,male,white,yes,yes,manufacturing,no
12.7,14.0,12.0,30.0,female,hispanic,yes,no,government,no
13.82,17.0,3.0,21.0,male,hispanic,no,no,government,no
23.39,20.0,5.0,29.0,female,other,yes,no,services,no
28.06,16.0,4.0,19.0,female,asian,no,yes,healthcare,yes
25.18,15.0,8.0,26.0,male,black,yes,no,manufacturing,yes
21.4,13.0,24.0,42.0,male,asian,yes,yes,services,no
20.62,16.0,18.0,46.0,female,white,no,no,education,no
17.63,16.0,15.0,32.0,female,white,yes,yes,manufacturing,no
15.46,14.0,19.0,38.0,male,other,yes,no,manufacturing,no
24.48,17.0,26.0,53.0,female,white,no,no,education,yes
10.0,9.0,12.0,29.0,female,white,no,no,services,no
17.72,10.0,19.0,29.0,female,white,yes,no,services,no
16.16,17.0,9.0,21.0,female,black,no,no,education,no
28.96,16.0,0.0,22.0,male,hispanic,no,no,education,yes
30.45,15.0,11.0,35.0,male,asian,no,no,manufacturing,no
21.18,13.0,22.0,45.0,female,hispanic,no,yes,services,no
16.45,15.0,7.0,26.0,male,hispanic,yes,no,healthcare,no
13.98,14.0,28.0,47.0,female,white,yes,no,government,no
22.99,13.0,13.0,28.0,male,white,no,no,healthcare,no
23.83,18.0,7.0,38.0,male,hispanic,no,no,manufacturing,yes
20.94,13.0,18.0,39.0,female,hispanic,no,yes,manufacturing,no
12.67,11.0,17.0,36.0,male,white,no,no,government,no
23.72,16.0,15.0,34.0,male,white,yes,no,services,no
20.25,14.0,13.0,37.0,male,hispanic,no,no,manufacturing,no
16.74,13.0,23.0,38.0,female,hispanic,no,no,healthcare,no
18.68,14.0,3.0,25.0,male,white,yes,no,services,no
20.89,11.0,21.0,31.0,female,white,yes,no,services,no
19.15,15.0,17.0,40.0,female,white,yes,no,manufacturing,no
18.56,15.0,10.0,40.0,female,white,no,no,manufacturing,no
17.39,14.0,17.0,30.0,female,asian,yes,no,healthcare,no
19.0,10.0,13.0,26.0,male,other,yes,yes,education,yes
11.64,12.0,1.0,19.0,female,white,yes,yes,services,no
11.49,10.0,16.0,34.0,male,black,no,no,manufacturing,no
21.53,16.0,5.0,25.0,male,hispanic,no,no,manufacturing,no
28.36,18.0,7.0,35.0,male,white,no,yes,manufacturing,no
22.64,19.0,11.0,38.0,male,hispanic,yes,no,healthcare,no
32.66,19.0,15.0,36.0,female,other,yes,no,services,yes
20.73,16.0,12.0,32.0,male,black,no,no,healthcare,no
21.98,13.0,28.0,46.0,male,white,no,no,services,no
21.59,16.0,9.0,28.0,male,white,no,no,manufacturing,yes
21.72,15.0,19.0,35.0,female,black,no,no,manufacturing,no
19.63,16.0,24.0,54.0,female,white,no,yes,services,yes
17.02,12.0,28.0,48.0,male,white,no,no,manufacturing,no
10.0,13.0,5.0,29.0,male,black,yes,no,services,no
28.48,13.0,27.0,49.0,male,white,yes,no,manufacturing,no
25.45,12.0,14.0,28.0,female,white,yes,no,healthcare,yes
27.17,16.0,1.0,18.0,female,asian,yes,no,services,yes
17.2,14.0,9.0,31.0,female,white,yes,no,services,yes
10.0,15.0,0.0,28.0,female,white,no,yes,services,no
14.58,13.0,18.0,35.0,female,black,yes,no,services,no
20.78,15.0,16.0,40.0,female,white,no,no,healthcare,no
20.43,17.0,0.0,25.0,male,hispanic,no,no,services,no
16.84,13.0,6.0,23.0,male,hispanic,yes,no,services,no
14.68,10.0,7.0,28.0,female,hispanic,no,yes,manufacturing,no
23.29,15.0,12.0,37.0,female,asian,no,no,services,no
16.62,16.0,0.0,28.0,male,white,yes,yes,manufacturing,no
17.92,11.0,23.0,45.0,female,white,no,no,services,no
19.78,14.0,11.0,26.0,female,white,no,no,manufacturing,yes
21.91,16.0,30.0,59.0,female,white,yes,no,services,no
22.85,15.0,11.0,31.0,male,white,no,no,education,no
19.25,14.0,21.0,40.0,female,white,no,yes,services,no
15.53,12.0,15.0,31.0,female,black,yes,yes,education,no
26.09,15.0,5.0,18.0,male,white,no,yes,services,no
24.37,16.0,8.0,28.0,female,black,yes,no,services,no
16.99,15.0,4.0,24.0,male,white,no,yes,services,yes
15.81,17.0,9.0,38.0,male,black,no,no,education,yes
18.58,14.0,28.0,45.0,female,white,yes,no,manufacturing,no
22.74,17.0,9.0,33.0,male,white,yes,no,healthcare,no
10.0,13.0,19.0,33.0,female,hispanic,yes,no,education,no
21.15,14.0,18.0,41.0,female,white,no,no,manufacturing,no
23.81,17.0,17.0,42.0,female,white,no,no,services,no
23.08,15.0,11.0,24.0,female,white,yes,no,healthcare,yes
16.46,10.0,10.0,22.0,female,white,yes,no,manufacturing,yes
29.8,16.0,19.0,37.0,female,white,yes,no,services,no
13.52,15.0,3.0,25.0,female,white,yes,no,manufacturing,no
33.13,14.0,14.0,38.0,male,white,yes,no,healthcare,yes
21.42,16.0,24.0,44.0,male,white,no,no,manufacturing,no
10.0,12.0,7.0,25.0,female,white,yes,no,education,no
12.48,13.0,8.0,31.0,male,white,yes,no,manufacturing,no
10.0,13.0,12.0,29.0,male,white,no,yes,healthcare,yes
19.28,15.0,15.0,36.0,female,white,no,no,services,no
26.59,19.0,15.0,37.0,male,black,yes,no,healthcare,no
22.91,17.0,5.0,25.0,male,asian,yes,no,services,no
10.47,12.0,23.0,42.0,female,white,yes,no,services,yes
12.21,16.0,2.0,28.0,male,white,yes,no,healthcare,no
23.59,13.0,3.0,25.0,male,black,yes,no,manufacturing,no
18.21,12.0,4.0,29.0,female,white,no,no,services,no
10.0,15.0,16.0,35.0,male,hispanic,yes,no,services,no
11.14,14.0,15.0,46.0,female,asian,no,yes,services,no
19.73,13.0,12.0,28.0,female,asian,yes,no,healthcare,no
19.9,13.0,25.0,44.0,male,asian,no,no,manufacturing,no
22.88,15.0,9.0,34.0,female,hispanic,yes,no,manufacturing,yes
19.59,17.0,12.0,37.0,male,white,no,no,services,no
11.09,12.0,2.0,18.0,female,hispanic,no,no,healthcare,no
20.16,18.0,15.0,33.0,male,asian,yes,no,services,no
14.33,11.0,14.0,32.0,male,hispanic,yes,no,manufacturing,no
27.93,18.0,3.0,25.0,male,white,yes,no,manufacturing,no
19.55,13.0,19.0,41.0,female,black,no,no,manufacturing,yes
13.99,14.0,20.0,44.0,male,hispanic,yes,yes,government,no
18.17,13.0,16.0,29.0,female,hispanic,yes,yes,healthcare,no
13.09,13.0,5.0,25.0,male,white,no,no,services,no
21.87,17.0,25.0,52.0,female,white,no,no,healthcare,no
18.13,13.0,0.0,19.0,female,asian,no,no,education,no
20.96,15.0,24.0,41.0,male,asian,yes,no,education,no
17.91,11.0,18.0,32.0,female,white,yes,no,manufacturing,no
17.61,15.0,10.0,25.0,female,white,yes,no,education,no
21.23,16.0,17.0,40.0,male,black,yes,no,healthcare,no
18.09,13.0,22.0,41.0,female,white,yes,no,services,no
27.05,17.0,5.0,30.0,female,black,no,no,services,yes
18.5,15.0,11.0,35.0,female,white,yes,no,healthcare,yes
20.16,14.0,19.0,42.0,male,black,no,no,manufacturing,yes
10.0,13.0,1.0,18.0,female,white,yes,no,services,yes
19.95,16.0,21.0,34.0,male,white,yes,no,healthcare,yes
21.64,13.0,12.0,35.0,female,asian,yes,yes,healthcare,yes
25.51,14.0,25.0,41.0,male,white,no,no,services,no
20.08,16.0,9.0,28.0,male,white,no,no,manufacturing,yes
25.99,17.0,20.0,43.0,female,black,yes,no,services,no
23.28,17.0,16.0,38.0,female,asian,no,no,government,no
11.37,15.0,6.0,35.0,male,hispanic,yes,no,manufacturing,yes
29.43,17.0,6.0,29.0,male,white,yes,no,manufacturing,no
12.22,14.0,11.0,28.0,male,hispanic,no,no,services,no
10.0,11.0,22.0,45.0,female,asian,no,no,healthcare,no
27.13,15.0,18.0,33.0,female,black,yes,no,healthcare,no
14.0,14.0,18.0,42.0,female,black,no,no,services,no
20.21,13.0,23.0,38.0,male,white,no,no,healthcare,yes
19.36,18.0,8.0,33.0,male,black,no,yes,services,yes
