credit_score,income,loan_amount,debt_ratio,years_employed,default
615,78537,14758,0.46,9.9,0
740,66254,23973,0.457,13.2,0
697,60222,25027,0.284,17.7,0
590,81733,13004,0.15,9.1,0
645,87695,23324,0.348,13.1,0
779,89074,6921,0.279,11.9,0
534,47175,18581,0.442,1.4,0
654,55380,12060,0.234,12.7,0
756,34373,14346,0.234,0.9,0
628,60706,11067,0.295,10.1,0
639,72490,23875,0.204,2.1,0
674,62610,23877,0.341,12.2,1
769,99755,15162,0.594,14.4,0
642,57695,22629,0.611,15.7,0
653,45407,21829,0.165,11.8,0
654,75233,19101,0.298,19.8,1
812,67699,35107,0.468,7.2,0
811,74894,14114,0.236,0.2,0
740,70468,20100,0.652,16.4,0
703,69388,17323,0.524,9.0,0
724,26799,17398,0.232,10.9,0
769,51930,21116,0.164,16.9,0
624,54374,17939,0.144,5.2,0
751,58737,13977,0.213,6.5,0
605,56929,20870,0.337,1.9,1
642,72431,28276,0.55,13.6,0
734,75816,26599,0.185,4.3,0
594,44630,21421,0.122,17.1,0
672,77362,14852,0.635,12.2,0
628,75544,21305,0.301,18.2,0
665,73384,27593,0.298,1.2,0
512,39478,28338,0.415,19.8,0
574,72930,22518,0.352,8.0,0
638,66487,17449,0.277,10.9,0
736,82296,18581,0.529,12.9,0
670,97118,25404,0.575,9.7,0
680,93585,24804,0.596,10.6,0
721,67028,7696,0.562,8.3,0
627,64966,24610,0.514,3.7,0
697,76375,24979,0.216,19.4,0
632,44929,13790,0.539,16.0,0
576,38888,14645,0.265,12.0,0
657,56494,14700,0.533,1.1,0
714,86970,15238,0.159,17.9,0
700,59040,10083,0.354,1.5,1
679,92046,22192,0.336,15.6,0
820,20000,14500,0.122,1.2,0
705,36430,19507,0.63,15.2,1
739,62774,16517,0.506,16.9,0
814,80988,21786,0.567,9.0,0
602,63747,12926,0.499,11.1,0
618,63278,21717,0.306,16.8,0
785,62809,22728,0.404,19.4,0
632,33268,25793,0.177,0.4,1
682,85845,33774,0.197,2.6,0
744,52710,5355,0.294,17.3,0
733,84612,22242,0.486,13.6,0
785,63731,15036,0.46,5.4,0
770,84227,6525,0.565,8.9,0
744,71179,25891,0.419,2.2,0
634,63080,29325,0.505,0.6,1
728,69073,17259,0.126,14.6,0
699,38486,21476,0.66,14.5,0
600,65109,19551,0.608,13.9,0
765,95889,23039,0.662,17.7,0
728,88547,26164,0.204,5.7,0
683,47270,22415,0.188,8.5,0
666,74102,22420,0.424,5.0,1
608,69464,28818,0.603,12.5,0
692,79709,18847,0.543,12.7,0
708,66695,26461,0.255,8.2,0
630,60797,14246,0.385,18.7,1
750,88951,31250,0.241,9.8,0
614,68895,25165,0.439,18.4,0
553,87598,17174,0.441,14.6,0
742,82539,5198,0.15,18.8,0
656,59159,19998,0.48,15.2,0
672,61994,11727,0.158,4.5,1
630,99737,22097,0.117,13.8,0
584,68447,30158,0.613,4.8,0
755,51345,21120,0.249,5.8,0
639,43399,18754,0.379,4.4,0
780,82534,22395,0.663,9.9,0
728,67885,22000,0.475,8.7,0
661,50742,3460,0.324,18.1,0
615,77143,21687,0.611,11.9,1
636,67875,24342,0.229,7.2,0
607,35111,18185,0.393,12.5,0
805,75596,26850,0.439,6.8,0
690,88997,19106,0.451,16.7,0
749,111077,25369,0.111,1.8,0
604,65628,35912,0.326,4.4,0
691,69188,19325,0.409,1.9,0
751,93919,6405,0.375,17.3,1
660,68037,17644,0.593,5.4,0
742,69956,7919,0.534,19.9,0
615,53649,24279,0.659,3.0,0
598,39901,29165,0.234,6.5,0
703,81428,24871,0.194,17.9,0
657,42076,22242,0.222,12.7,1
719,85532,15486,0.494,9.9,0
561,50813,31030,0.251,3.3,0
723,69774,25273,0.499,15.8,0
820,58299,21991,0.51,6.7,0
679,86143,21434,0.149,15.1,0
682,70415,20781,0.544,11.7,0
691,100264,23166,0.288,12.3,0
568,45494,15707,0.233,6.5,0
706,72450,30677,0.255,1.5,0
584,65852,21066,0.638,11.9,0
654,70039,24200,0.463,14.9,0
755,93727,16965,0.49,11.5,0
636,75536,22624,0.23,12.0,0
710,44345,4028,0.316,13.9,0
741,74603,12172,0.586,0.9,0
697,57519,19780,0.304,4.5,1
598,56480,10743,0.588,12.3,0
660,83825,37076,0.22,2.7,1
798,54158,8323,0.539,5.4,0
558,58165,22421,0.17,0.9,0
663,65583,31590,0.593,4.3,1
647,82031,23369,0.504,0.2,0
687,75469,17828,0.674,16.4,0
725,60781,16135,0.118,11.8,0
777,60101,24713,0.179,10.9,0
664,44118,14398,0.116,0.1,0
729,51323,19164,0.11,17.0,0
710,53221,24838,0.608,0.0,1
708,62313,17845,0.479,15.7,0
646,100762,20613,0.486,4.4,0
620,52842,17871,0.326,16.4,1
614,59675,13211,0.132,2.6,0
635,28057,28324,0.359,10.9,0
699,75810,29751,0.194,0.6,0
726,36606,17783,0.661,11.1,0
699,48681,18141,0.627,2.7,0
647,83762,18755,0.281,16.1,0
788,27111,23772,0.11,4.7,0
771,66727,13663,0.113,2.3,0
659,79417,19380,0.417,0.6,1
631,92458,21841,0.594,11.5,0
688,48438,24494,0.305,13.2,0
756,53768,3000,0.494,17.9,1
700,97480,22824,0.615,1.2,0
713,64549,22421,0.482,7.8,0
667,51747,27054,0.104,3.3,0
707,52085,16316,0.431,10.0,0
773,47494,16372,0.205,4.8,0
666,57086,28418,0.58,8.2,0
689,84588,9058,0.347,7.4,0
695,80980,31404,0.364,13.8,0
697,43863,37891,0.282,14.8,0
595,68863,23342,0.238,8.5,0
567,57761,25699,0.196,4.9,0
619,79084,9573,0.345,15.9,0
690,62186,15138,0.423,17.0,0
713,71687,27405,0.641,10.8,0
648,62145,22533,0.341,5.0,0
763,25632,18730,0.293,15.7,0
671,65846,21630,0.591,7.1,0
681,42109,23549,0.518,18.4,0
668,78448,17948,0.169,5.3,0
688,52763,19797,0.524,18.8,0
722,54110,19746,0.671,8.6,0
720,64840,12634,0.398,15.1,0
626,75400,22265,0.394,4.2,0
771,61945,32625,0.534,12.5,0
614,94559,32124,0.22,11.6,0
685,94679,9665,0.32,8.4,0
664,95878,23994,0.29,14.7,0
617,60782,24729,0.698,16.4,0
675,38325,17126,0.197,14.5,0
636,86961,13251,0.204,16.3,0
684,57506,10754,0.377,14.9,0
704,65687,16887,0.265,3.0,0
768,76310,22450,0.622,15.4,0
698,36120,18894,0.362,3.8,1
643,94324,15723,0.511,2.0,0
657,80749,11256,0.591,18.0,0
688,71341,22455,0.263,12.0,0
686,81037,27466,0.54,3.5,0
768,75025,13512,0.339,12.7,0
764,67103,23139,0.253,6.7,0
658,59460,6844,0.634,2.8,1
647,51695,15398,0.439,16.0,0
527,70170,25107,0.398,2.2,0
647,71502,12176,0.208,19.2,0
621,84498,15769,0.641,15.4,0
659,68612,29926,0.483,14.2,0
703,49642,14870,0.669,4.8,0
691,36628,14022,0.127,15.2,0
678,62704,24031,0.17,0.5,0
692,64506,33683,0.626,11.1,0
672,63234,18322,0.371,6.2,0
692,37451,25381,0.38,16.6,0
500,84340,29420,0.234,15.2,0
664,84307,22279,0.393,9.8,0
673,50181,18111,0.363,9.4,0
660,79508,13866,0.533,1.5,0
667,82151,10024,0.481,4.7,0
722,65692,27782,0.579,14.1,0
644,47927,21267,0.57,1.3,1
812,94041,29330,0.353,15.7,1
721,71857,26922,0.281,19.6,0
680,60481,15681,0.296,1.6,0
668,78911,11692,0.694,9.2,0
675,94200,22889,0.346,11.6,0
625,56051,15572,0.553,16.3,0
674,77446,22637,0.15,3.0,0
697,99977,14882,0.358,7.2,0
715,44902,13971,0.297,16.7,0
715,55113,19013,0.196,10.4,0
664,54239,26539,0.114,3.3,0
595,62150,22146,0.251,17.4,0
640,61220,28249,0.576,18.7,1
777,70414,11365,0.278,14.8,0
734,50233,12600,0.624,19.5,0
702,53792,19376,0.447,18.5,0
634,70423,35160,0.583,2.4,0
680,67788,24720,0.7,8.2,0
605,80733,12534,0.484,11.9,0
647,72368,19467,0.305,14.6,0
665,78893,21545,0.286,10.7,0
658,44427,16019,0.684,13.0,0
737,58099,24293,0.529,2.3,0
595,98271,18905,0.402,8.1,0
628,72057,17905,0.228,0.1,0
598,78453,28822,0.394,13.0,0
606,69909,8032,0.557,3.3,0
687,72656,13267,0.685,8.1,0
584,60844,14279,0.504,10.0,0
725,129288,14066,0.115,13.3,0
665,57869,14899,0.379,15.3,0
684,64310,23419,0.597,14.3,0
699,21353,27676,0.406,11.4,0
654,84913,26412,0.306,10.6,0
742,55059,12863,0.617,17.1,0
668,63906,19248,0.447,17.3,0
716,55495,23166,0.403,1.2,0
668,62504,21680,0.392,5.4,0
697,59884,29140,0.509,18.4,1
697,64225,15273,0.373,11.9,0
695,64050,21094,0.44,2.7,0
622,62224,17247,0.273,1.4,0
706,61978,21758,0.203,1.9,0
661,88553,12448,0.592,15.4,0
718,80866,13497,0.292,4.4,0
551,80974,14889,0.175,4.9,0
592,51816,16054,0.211,2.6,0
702,87623,30835,0.348,12.0,0
792,85370,28228,0.271,10.3,0
730,55039,18511,0.517,5.6,0
639,92429,21211,0.31,13.2,0
578,52702,8839,0.452,15.6,0
725,31843,18745,0.2,19.6,0
675,84827,21117,0.182,9.6,0
715,62849,28020,0.644,8.3,0
687,82585,22288,0.619,5.8,0
682,51424,23030,0.639,15.7,0
820,42288,22084,0.396,19.4,0
680,87174,21883,0.142,12.0,0
670,39669,10223,0.286,12.8,0
673,36901,17083,0.629,13.8,0
645,30339,30044,0.354,8.5,0
739,20000,25767,0.296,4.4,0
659,46296,23460,0.277,5.1,0
718,25951,20467,0.43,12.3,0
697,64359,24616,0.371,12.8,0
753,24744,13386,0.325,9.2,0
705,45303,8940,0.354,0.9,0
607,106977,17325,0.26,17.5,0
600,71212,23765,0.215,4.9,0
765,65951,20755,0.221,11.6,0
643,35826,27098,0.123,14.8,0
601,60579,22460,0.667,3.7,0
640,65866,20314,0.674,9.5,1
756,36107,29292,0.162,0.0,0
595,67271,27927,0.144,0.9,0
628,86442,19313,0.35,5.0,0
640,58731,12279,0.558,13.2,0
605,61450,13648,0.596,17.7,0
609,28242,18870,0.113,8.5,0
589,39814,17432,0.27,0.5,0
652,84039,31604,0.421,5.9,0
659,53092,8239,0.181,19.1,1
639,48265,19550,0.682,2.2,0
581,52534,12536,0.251,15.1,0
755,63966,20818,0.419,14.9,0
600,44149,22676,0.166,11.8,0
697,67277,17166,0.303,18.6,0
616,40520,23713,0.174,12.8,0
720,78932,18610,0.647,19.3,0
737,45973,18744,0.67,16.5,1
627,88765,17075,0.425,15.9,0
565,64819,24556,0.31,19.0,0
722,49778,20970,0.294,12.3,0
793,81406,31013,0.654,6.4,0
705,40259,28890,0.472,2.1,0
690,55153,23876,0.346,13.9,0
729,64999,4884,0.563,10.5,0
726,62819,9610,0.421,7.7,1
630,28845,26904,0.231,19.0,1
640,48428,16671,0.243,18.2,0
717,68028,21644,0.265,7.6,0
671,41242,15587,0.11,18.9,0
759,87796,23625,0.253,8.6,0
638,73913,26706,0.467,4.1,0
725,55744,11533,0.552,12.4,0
701,61035,14305,0.168,1.9,0
672,98508,8354,0.683,3.1,0
751,81848,21634,0.393,16.3,0
721,71844,8343,0.137,16.4,0
620,39521,17437,0.664,4.8,0
718,94333,23637,0.263,14.9,0
762,83943,34407,0.286,19.5,0
672,62329,22579,0.376,19.2,0
665,55105,28770,0.295,8.9,0
640,61618,21814,0.207,17.3,0
679,43365,22165,0.176,11.1,0
721,56526,18524,0.406,11.3,0
631,78737,17317,0.142,4.8,0
599,32463,28221,0.526,7.7,0
657,59347,22623,0.305,4.3,0
597,67048,22354,0.696,14.8,0
711,66864,15743,0.138,12.8,0
654,43779,17585,0.129,16.1,0
575,43721,34472,0.251,12.4,1
659,84605,19527,0.311,5.5,0
668,42958,29283,0.588,19.1,0
707,83156,16358,0.598,13.0,0
671,56317,25611,0.534,9.5,0
792,84436,22029,0.595,15.6,0
649,57421,17174,0.537,5.1,0
676,44004,24540,0.624,16.2,1
674,80418,9196,0.379,6.8,0
663,64687,24022,0.266,1.5,1
689,91074,25508,0.478,15.7,0
712,81060,21912,0.319,3.8,0
760,60870,29176,0.141,12.9,0
586,56906,19523,0.614,5.4,0
649,65421,18956,0.6,13.7,0
653,68424,22485,0.398,2.5,0
736,49129,26074,0.38,12.5,1
659,80155,23989,0.171,3.8,0
566,57847,18414,0.176,10.1,0
685,57386,13033,0.579,17.5,0
678,55268,24644,0.612,9.5,0
691,69158,14473,0.103,15.4,0
618,52543,14272,0.57,2.9,0
783,67429,15417,0.422,13.1,0
661,114799,20404,0.362,3.0,1
669,64035,14426,0.385,15.4,0
626,57188,12050,0.528,14.3,0
624,34982,15388,0.101,8.0,0
607,65904,18717,0.138,9.4,0
656,45034,23180,0.605,3.4,1
623,58240,20471,0.699,12.7,1
803,67729,12437,0.245,18.3,0
567,33842,21601,0.34,11.2,1
612,67834,22259,0.521,6.3,0
656,70481,16815,0.499,8.2,1
720,41652,14426,0.57,4.4,0
655,57938,14424,0.648,8.8,0
721,32048,16277,0.258,9.9,0
621,93359,35500,0.416,18.8,1
684,70950,13776,0.184,8.6,0
785,61767,21862,0.682,17.2,1
622,62058,15001,0.554,3.3,0
705,85366,16458,0.212,10.9,1
692,63305,15057,0.544,11.8,0
545,70955,25608,0.579,11.9,0
645,92335,22654,0.182,10.0,0
748,58769,19095,0.4,15.3,0
688,45333,23521,0.594,3.5,0
607,50159,25204,0.308,1.4,1
721,90716,14045,0.13,2.9,0
651,66646,23831,0.306,11.3,0
702,55958,14977,0.569,5.0,0
703,82526,25866,0.16,14.8,0
613,82963,25181,0.286,1.3,0
727,56438,22826,0.612,18.2,0
620,47505,18531,0.197,19.0,0
602,36730,16317,0.333,15.7,1
627,32710,18155,0.433,17.6,0
659,60230,25384,0.207,7.6,0
687,48922,15224,0.52,3.2,0
634,98453,20348,0.569,4.0,1
725,66054,7767,0.481,10.0,0
695,30041,21823,0.617,13.2,0
638,90537,12751,0.178,11.4,0
733,67911,10773,0.102,2.1,0
750,77690,23631,0.26,14.5,0
674,77277,21472,0.604,15.8,0
667,70338,16896,0.176,0.6,0
574,74420,17885,0.558,9.2,1
656,69298,35897,0.658,8.8,0
663,45085,18641,0.436,1.3,0
695,71601,18591,0.63,3.5,0
670,83430,24566,0.249,16.3,0
695,61219,20610,0.534,11.7,0
772,74923,26912,0.568,4.4,0
648,72553,21942,0.392,9.2,0
651,97682,25328,0.462,17.1,0
601,60450,23103,0.153,2.0,0
679,59744,24517,0.266,19.1,0
739,62895,19701,0.146,2.8,0
575,63157,21558,0.244,5.8,0
640,24093,18103,0.636,3.6,0
682,53433,24229,0.119,9.4,0
731,70398,10578,0.398,6.2,0
703,64851,25083,0.414,19.8,0
700,50612,26986,0.271,0.3,0
667,53034,25192,0.569,6.4,0
709,58599,19271,0.454,11.9,0
741,50572,23537,0.217,6.8,0
577,55765,14564,0.383,9.1,0
724,55291,25860,0.114,8.5,0
674,81117,12305,0.111,1.7,0
648,83295,24156,0.541,13.0,0
533,81805,23729,0.203,16.7,0
597,72681,22847,0.681,10.6,0
782,52250,16870,0.315,3.0,0
639,82277,25321,0.519,9.6,0
615,59343,7139,0.377,0.3,0
653,65415,25441,0.346,18.1,0
635,89088,21340,0.501,4.8,0
687,66512,27357,0.476,18.0,0
771,69451,21400,0.626,11.7,0
645,39570,32867,0.151,19.7,0
689,73766,13407,0.404,17.0,0
611,47360,24266,0.465,0.2,0
771,83215,13798,0.49,0.3,0
691,61677,19115,0.475,14.9,0
615,24749,25197,0.321,10.3,0
734,58556,24378,0.119,15.1,0
752,60895,34557,0.528,11.8,0
690,73739,17540,0.126,4.6,0
582,77069,29002,0.382,15.7,0
787,59100,18220,0.531,0.6,0
699,83232,15094,0.264,16.1,0
750,20000,8639,0.117,13.3,0
647,52148,21139,0.156,13.5,1
656,44977,16351,0.183,0.9,0
687,42425,25933,0.499,4.2,0
747,82275,16301,0.492,9.8,0
689,79925,16664,0.687,8.8,1
605,51036,22483,0.294,0.5,1
696,86205,32049,0.179,6.7,0
778,66826,12379,0.204,19.3,0
684,57410,27123,0.119,6.1,0
688,52527,26119,0.594,12.7,0
604,50991,18453,0.146,13.6,0
596,73510,24728,0.636,12.5,1
642,76703,18010,0.129,5.8,0
660,69293,36600,0.588,11.4,0
686,28096,19215,0.217,14.1,0
690,70334,20563,0.114,7.7,0
776,75177,17719,0.521,5.6,0
684,52954,8146,0.102,5.5,0
744,65779,18158,0.279,18.4,0
678,31450,21624,0.134,12.9,0
767,42861,30506,0.173,15.0,0
568,59164,23444,0.175,11.4,0
644,59424,18674,0.534,12.6,0
739,71330,20420,0.683,5.5,0
670,43635,22291,0.247,17.9,0
736,58858,17347,0.339,10.0,0
703,56184,24776,0.325,16.1,0
737,74504,31376,0.254,10.4,0
717,90579,17458,0.528,2.3,0
720,95977,28453,0.263,2.2,0
770,36768,26134,0.409,9.3,1
739,64136,23761,0.178,8.6,0
740,44974,20783,0.609,18.3,0
681,63835,22364,0.512,2.6,0
645,72613,18478,0.423,13.7,0
640,66467,32858,0.468,18.4,0
725,64118,14971,0.235,8.2,0
534,91695,27945,0.606,17.7,0
602,77978,30848,0.173,2.9,0
622,60092,17738,0.629,2.1,0
665,65436,28161,0.468,4.7,0
522,80676,21008,0.664,10.4,0
756,75976,20437,0.273,12.9,0
716,57349,19478,0.661,15.4,0
799,33046,8704,0.483,15.3,0
744,43676,23835,0.106,2.2,0
742,67628,30105,0.162,17.5,0
815,32843,15067,0.456,2.2,0
646,62257,25931,0.157,18.0,0
590,56836,19404,0.549,19.2,0
666,82987,12351,0.503,11.7,0
631,41275,26985,0.212,13.9,0
665,30228,31802,0.482,7.4,0
617,57446,14440,0.44,11.0,0
714,76426,21511,0.248,16.6,0
711,84259,9922,0.525,3.2,0
678,48632,19706,0.251,10.0,0
699,73465,23402,0.619,8.2,0
671,44994,32270,0.338,17.3,0
